alpha,beta,gamma,delta
-0.22900028979949108,-0.27309576621898024,7.203602239572193,7.862380579675025
-0.2074233623427364,-0.27488009172052874,7.256476935636248,7.8321067881288915
-0.2405963266411328,-0.2663165974994112,7.474010827190017,7.8604723236740925
-0.2566183360239244,-0.24934482159705626,7.566554397173947,7.896768793774099
-0.2706322923113656,-0.2416923275081101,7.511964034107766,7.793137802290097
-0.2550621956520352,-0.24709512298398653,7.074486413308762,8.046303445862161
-0.2418764612856941,-0.2510557177764403,7.213894242906953,8.229665547814253
-0.2418764612856941,-0.2510557177764403,7.213894242906953,8.229665547814253
-0.253757391302092,-0.26088399727107414,6.9798945562798895,8.40138910138476
-0.24496496201217785,-0.22830958500798715,6.663431248218627,8.069293073124824
-0.24413291387197142,-0.26285971979728573,7.202091204410749,7.943140718399545
-0.2624452924550564,-0.2369596541950897,7.34564527829823,7.940205386930188
-0.26200237005939403,-0.24177173818143702,8.099748930317203,7.229969802366685
-0.26200237005939403,-0.24177173818143702,8.099748930317203,7.229969802366685
-0.23465247884364476,-0.25044628992118373,7.319212125363942,7.585907422349602
-0.25722684643921445,-0.2807892769835385,8.103579236088049,7.483840730094667
-0.25528043977451464,-0.2221663016353846,7.881072645016696,6.68020558885788
-0.2934870670622373,-0.28248056199545424,8.362502175616687,7.9568041739664235
-0.21912661687843332,-0.22661442344832392,6.527051391747134,7.835170287399912
-0.21912661687843332,-0.22661442344832392,6.527051391747134,7.835170287399912
-0.26345032030636856,-0.2759028168129482,8.559801702526203,7.429394883645507
-0.3152832485127413,-0.26467584250940057,8.156811167428934,8.176986639741354
-0.2520295146235164,-0.29150778845323916,7.926336444168101,7.875287004069352
-0.248384091349845,-0.2800556078512993,8.010171132832836,8.008105017420643
-0.26350038951234517,-0.23968429168536468,7.643360625067114,7.8659261526401085
-0.24401359567387543,-0.26062011209845926,7.751501433215639,7.830863922965194
-0.24146294898000759,-0.21523303535176172,7.293358759575053,7.446110782447506
-0.2434129778926232,-0.2590483575366863,7.426006537788193,7.9293754133659125
-0.2584634060453274,-0.2568447306595094,7.573618603293913,7.85578636278387
-0.2893924789058862,-0.24964327577908488,7.633980537821765,7.864681170858253
-0.23126158778916053,-0.27608234463920617,7.415428465705494,8.104347321456778
-0.23350142714418357,-0.27111134386607544,7.353375573394939,8.12475751510984
-0.26494194271581645,-0.23616231367259155,7.828285436741891,7.544170583664754
-0.2732113588555409,-0.22320379659314638,7.704007918049956,7.553033882481497
-0.26258050294898594,-0.2358077260250907,7.749869854868226,7.424585495619567
-0.23599462258800571,-0.26303953552197407,8.163444925302363,6.946920815851126
-0.2614069655530236,-0.23973628165821065,8.445477377788333,6.976380485914094
-0.26081207672012313,-0.24097404302519296,8.052856656399973,7.213242113013431
